Image;Minimum;Maximum;Squared Dynamic Range;Mean;Standard Deviation;Variance;Skewness;Kurtosis;92.5 Percentile;85 Percentile;15 Percentile;7.5 Percentile;Interquartile Range;Median;Shannon Entropy;Bins Entropy;Normalized Energy;Root Mean Square;Mean Absolute Deviation;Robust Mean Absolute Deviaton;label
Img118;96;240;20736;234,0693164;23,28987871;542,4184504;-3,839732547;16,33088512;240;240;240;240;0;240;0,500665938;0,500665938;55330,86333;235,2251333;11,09656577;240;2
Img119;112;240;16384;234,7412891;21,25941019;451,9625218;-3,974237596;17,41588843;240;240;240;240;0;240;0,474825607;0,474825607;55555,43531;235,7020053;9,874107092;240;2
Img120;96;240;20736;234,5468685;22,78465361;519,1404401;-4,097803315;18,34575279;240;240;240;240;0;240;0,453659782;0,453659782;55531,37396;235,6509579;10,28097682;240;2
Img121;96;240;20736;235,0439128;20,98100359;440,2025118;-4,298361579;20,58146005;240;240;240;240;0;240;0,480288189;0,480288189;55685,84344;235,9784809;9,333613406;240;2
Img122;96;240;20736;234,6026107;22,29216419;496,9405843;-4,140496735;19,0304409;240;240;240;240;0;240;0,492027317;0,492027317;55535,32552;235,6593421;10,14305311;240;2
Img123;96;240;20736;234,0551497;23,74186056;563,6759429;-3,900396037;16,75949601;240;240;240;240;0;240;0,485782821;0,485782821;55345,48906;235,25622;11,1490253;240;2
Img124;96;240;20736;234,4484896;21,90482497;479,8213571;-3,871319586;16,63945974;240;240;240;240;0;240;0,493896451;0,493896451;55445,91563;235,4695641;10,39345485;240;2
Img125;112;240;16384;234,2151986;21,87970615;478,7215411;-3,72788488;15,61683379;240;240;240;240;0;240;0,537654799;0,537654799;55335,48078;235,234948;10,75887151;240;2
Img126;112;240;16384;234,112347;23,1705176;536,872886;-3,873645081;16,64597853;240;240;240;240;0;240;0,507115152;0,507115152;55345,46391;235,2561666;11,01176297;240;2
Img127;64;240;30976;231,1924186;34,26636926;1174,184062;-3,691428854;14,78308451;240;240;240;240;0;240;0,457322513;0,457322513;54624,11849;233,718032;16,49235024;240;2
Img128;64;240;30976;231,6402669;33,65704744;1132,796842;-3,862813608;16,15088771;240;240;240;240;0;240;0,463816348;0,463816348;54790,0101;234,0726599;15,70491648;240;2
Img129;64;240;30976;230,6666439;35,58912046;1266,585495;-3,641166007;14,49869203;240;240;240;240;0;240;0,512280971;0,512280971;54473,68609;233,3959856;17,40984231;240;2
Img130;64;240;30976;231,2816341;34,14978637;1166,207909;-3,735580479;15,15121489;240;240;240;240;0;240;0,472845538;0,472845538;54657,40219;233,789226;16,32903884;240;2
Img131;64;240;30976;231,3904948;34,72189006;1205,609649;-3,848753791;15,98971389;240;240;240;240;0;240;0,443803848;0,443803848;54747,17073;233,9811333;16,19021028;240;2
Img132;64;240;30976;231,5896973;34,70635127;1204,530818;-3,967197593;16,96125705;240;240;240;240;0;240;0,445114887;0,445114887;54838,3187;234,1758286;15,84721285;240;2
Img133;64;240;30976;230,246748;36,60015174;1339,571108;-3,556983717;13,82717623;240;240;240;240;0;240;0,501621992;0,501621992;54353,13609;233,1375905;18,16266961;240;2
Img134;64;240;30976;230,9548763;34,59104394;1196,540321;-3,654046992;14,59109593;240;240;240;240;0;240;0,508120697;0,508120697;54536,69521;233,5309299;16,87744043;240;2
Img135;64;240;30976;232,6550228;32,06009506;1027,849695;-4,220598817;19,05481877;240;240;240;240;0;240;0,4033758;0,4033758;55156,20932;234,8535912;13,9269746;240;2
Img136;64;240;30976;231,7110124;33,10253998;1095,778153;-3,833934423;15,94641556;240;240;240;240;0;240;0,473042569;0,473042569;54785,77141;234,0636055;15,55460436;240;2
Img137;64;240;30976;232,0710938;32,92781954;1084,2413;-3,992438841;17,14469059;240;240;240;240;0;240;0,431255548;0,431255548;54941,23385;234,3954647;14,95019535;240;2
Img138;64;240;30976;230,5854102;36,04542964;1299,272998;-3,647353895;14,50486088;240;240;240;240;0;240;0,497187633;0,497187633;54468,90438;233,3857416;17,57468636;240;2
Img139;64;240;30976;230,6069759;36,25442221;1314,38313;-3,671177141;14,65664283;240;240;240;240;0;240;0,482311236;0,482311236;54493,96047;233,439415;17,55870602;240;2
Img140;64;240;30976;227,683431;41,16009954;1694,153794;-3,106784916;10,79748002;240;240;240;112;0;240;0,599271061;0,599271061;53533,89854;231,3739366;22,53086167;240;2
Img141;64;240;30976;226,6289323;42,02231261;1765,874757;-2,890773393;9,521990209;240;240;240;112;0;240;0,668272421;0,668272421;53126,54771;230,4919689;24,2021875;240;2
Img142;64;240;30976;230,3762533;37,10915218;1377,089176;-3,661526142;14,56372195;240;240;240;240;0;240;0,471093506;0,471093506;54450,30724;233,3458961;17,99009787;240;2
Img143;64;240;30976;231,0302767;35,41455167;1254,19047;-3,769399229;15,39662429;240;240;240;240;0;240;0,46430075;0,46430075;54629,17922;233,7288583;16,81492449;240;2
Img144;64;240;30976;228,7259733;38,20984302;1459,992103;-3,158218058;11,13303098;240;240;240;128;0;240;0,583377406;0,583377406;53775,56297;231,8955864;20,68082024;240;2
